"deal_id","customer_id","clean_stage","original_deal_value","clean_deal_value","clean_close_date"
DEAL-0061,CUST-023,Closed Lost,118000000,118000000,2024-05-22
DEAL-0062,CUST-082,Closed Lost,125000000,125000000,2024-06-27
DEAL-0063,CUST-014,Closed Won,182000000,182000000,2024-09-10
DEAL-0064,CUST-098,Prospecting,85000000,85000000,2024-05-09
DEAL-0065,CUST-052,Prospecting,143000000,143000000,2024-08-24
DEAL-0066,CUST-047,Closed Lost,199000000,199000000,2024-01-27
DEAL-0067,CUST-037,Closed Lost,129000000,129000000,2024-03-03
,CUST-031,Closed Won,8000000,8000000,2024-10-09
DEAL-0069,CUST-015,Closed Lost,170000000,170000000,2024-03-19
DEAL-0070,CUST-066,Closed Won,128000000,128000000,2024-08-29
DEAL-0071,CUST-050,Unknown,135000000,135000000,2024-03-10
DEAL-0072,CUST-054,Closed Lost,134000000,134000000,2024-05-16
DEAL-0073,CUST-039,Closed Lost,119000000,119000000,2024-10-02
DEAL-0074,CUST-098,Closed Lost,87000000,87000000,2024-04-06
DEAL-0075,CUST-050,Unknown,110000000,110000000,2024-01-23
DEAL-0076,CUST-049,Closed Lost,207000000,207000000,2024-03-18
DEAL-0078,CUST-002,Closed Won,172000000,172000000,2024-03-20
DEAL-0079,CUST-034,Closed Lost,106000000,106000000,2024-02-11
DEAL-0080,CUST-069,Closed Lost,165000000,165000000,2024-09-06
DEAL-0082,CUST-056,Qualification,185000000,185000000,2024-02-21
DEAL-0083,CUST-004,Prospecting,19000000,19000000,2024-05-30
DEAL-0084,CUST-032,Closed Lost,207000000,207000000,2024-04-02
DEAL-0086,CUST-059,Closed Won,235000000,235000000,2024-08-26
DEAL-0087,CUST-021,Qualification,93000000,93000000,2024-10-27
DEAL-0088,CUST-089,Closed Won,82000000,82000000,2024-04-11
DEAL-0089,CUST-014,Unknown,96000000,96000000,2024-10-21
DEAL-0090,CUST-003,Closed Lost,149000000,149000000,2024-01-26
DEAL-0091,CUST-037,Unknown,95000000,95000000,2024-04-22
DEAL-0092,CUST-087,Closed Won,236000000,236000000,2024-01-21
DEAL-0093,CUST-075,Closed Lost,28000000,28000000,2024-05-31
DEAL-0094,CUST-026,Closed Won,229000000,229000000,2024-07-06
DEAL-0095,CUST-022,Closed Won,246000000,246000000,2024-09-03
DEAL-0096,CUST-044,Qualification,24000000,24000000,2024-03-13
DEAL-0097,CUST-087,Closed Lost,210000000,210000000,2024-10-12
DEAL-0098,CUST-002,Closed Won,121000000,121000000,2024-07-07
DEAL-0099,CUST-075,Closed Lost,245000000,245000000,2024-07-09
DEAL-0100,CUST-004,Closed Lost,61000000,61000000,2024-02-02
DEAL-0101,CUST-090,Closed Won,34000000,34000000,2024-03-12
DEAL-0103,CUST-086,Closed Lost,191000000,191000000,2024-03-20
DEAL-0104,CUST-063,Closed Lost,76000000,76000000,2024-01-17
DEAL-0105,CUST-057,Unknown,30000000,30000000,2024-07-07
DEAL-0106,CUST-046,Prospecting,53000000,53000000,2024-03-03
DEAL-0107,CUST-012,Unknown,157000000,157000000,2024-01-11
DEAL-0108,CUST-017,Unknown,0,0,2024-10-10
DEAL-0109,CUST-030,Closed Lost,206000000,206000000,2024-01-02
DEAL-0110,CUST-017,Closed Won,33000000,33000000,2024-01-14
DEAL-0111,CUST-031,Closed Lost,-15000000,,2024-05-15
DEAL-0112,CUST-068,Qualification,126000000,126000000,2024-08-17
DEAL-0113,CUST-014,Closed Lost,247000000,247000000,2024-01-23
DEAL-0114,CUST-085,Closed Won,12000000,12000000,2024-02-01
DEAL-0115,CUST-055,Qualification,237000000,237000000,2024-08-15
DEAL-0117,CUST-092,Closed Lost,157000000,157000000,2024-09-28
DEAL-0118,CUST-056,Qualification,34000000,34000000,2024-10-09
DEAL-0119,CUST-058,Unknown,216000000,216000000,2024-08-20
DEAL-0120,CUST-041,Closed Lost,70000000,70000000,2024-07-10
DEAL-0121,CUST-061,Qualification,0,0,2024-02-13
DEAL-0123,CUST-043,Qualification,228000000,228000000,2024-08-04
DEAL-0124,CUST-037,Closed Won,152000000,152000000,2024-09-16
DEAL-0125,CUST-029,Qualification,147000000,147000000,2024-07-07
DEAL-0126,CUST-029,Closed Lost,201000000,201000000,2024-10-12
,CUST-089,Closed Won,-15000000,,2024-05-19
DEAL-0128,CUST-044,Closed Lost,-15000000,,2024-03-14
DEAL-0129,CUST-019,Prospecting,0,0,2024-09-28
DEAL-0130,CUST-044,Closed Won,189000000,189000000,2024-06-15
DEAL-0131,CUST-011,Prospecting,198000000,198000000,2024-01-26
DEAL-0132,CUST-085,Closed Lost,118000000,118000000,2024-07-31
DEAL-0133,CUST-015,Closed Lost,77000000,77000000,2024-09-06
DEAL-0134,CUST-029,Closed Lost,19000000,19000000,2024-01-04
DEAL-0135,CUST-099,Closed Won,79000000,79000000,2024-06-16
DEAL-0136,CUST-056,Closed Won,141000000,141000000,2024-04-27
DEAL-0137,CUST-046,Qualification,194000000,194000000,2024-01-22
DEAL-0138,CUST-010,Closed Lost,151000000,151000000,2024-07-26
DEAL-0139,CUST-015,Closed Lost,-15000000,,2024-06-15
DEAL-0140,CUST-059,Closed Lost,0,0,2024-02-24
DEAL-0141,CUST-068,Qualification,84000000,84000000,2024-06-22
DEAL-0142,CUST-010,Qualification,54000000,54000000,2024-06-27
DEAL-0143,CUST-083,Closed Won,42000000,42000000,2024-05-11
DEAL-0144,CUST-098,Qualification,202000000,202000000,2024-09-09
DEAL-0145,CUST-075,Closed Lost,230000000,230000000,2024-10-16
DEAL-0146,CUST-042,Closed Lost,22000000,22000000,2024-08-28
DEAL-0147,CUST-036,Prospecting,23000000,23000000,2024-06-07
DEAL-0149,CUST-060,Prospecting,212000000,212000000,2024-10-19
DEAL-0150,CUST-061,Closed Won,120000000,120000000,2024-02-22
DEAL-0151,CUST-092,Qualification,49000000,49000000,2024-01-21
DEAL-0152,CUST-057,Closed Won,239000000,239000000,2024-05-24
DEAL-0153,CUST-087,Prospecting,170000000,170000000,2024-06-20
DEAL-0155,CUST-019,Closed Lost,172000000,172000000,2024-07-19
DEAL-0156,CUST-011,Closed Won,169000000,169000000,2024-06-17
DEAL-0157,CUST-095,Qualification,113000000,113000000,2024-09-17
DEAL-0158,CUST-024,Unknown,201000000,201000000,2024-09-05
DEAL-0159,CUST-020,Qualification,206000000,206000000,2024-02-21
DEAL-0160,CUST-095,Prospecting,229000000,229000000,2024-03-08
DEAL-0161,CUST-024,Closed Won,16000000,16000000,2024-07-29
DEAL-0162,CUST-057,Closed Won,205000000,205000000,2024-08-17
DEAL-0163,CUST-061,Unknown,247000000,247000000,2024-10-19
DEAL-0164,CUST-037,Closed Lost,112000000,112000000,2024-03-23
DEAL-0165,CUST-018,Closed Won,0,0,2024-09-03
DEAL-0166,CUST-014,Qualification,200000000,200000000,2024-03-23
DEAL-0167,CUST-019,Closed Lost,0,0,2024-04-23
DEAL-0168,CUST-004,Closed Lost,0,0,2024-09-14
DEAL-0169,CUST-011,Closed Lost,86000000,86000000,2024-02-20
DEAL-0170,CUST-019,Closed Won,-15000000,,2024-08-29
DEAL-0171,CUST-091,Closed Lost,6000000,6000000,2024-02-10
,CUST-020,Closed Lost,78000000,78000000,2024-05-01
,CUST-074,Closed Lost,176000000,176000000,2024-02-13
DEAL-0176,CUST-068,Prospecting,125000000,125000000,2024-01-23
DEAL-0177,CUST-033,Prospecting,22000000,22000000,2024-06-25
DEAL-0178,CUST-014,Closed Lost,95000000,95000000,2024-10-06
DEAL-0179,CUST-100,Closed Lost,127000000,127000000,2024-04-03
DEAL-0181,CUST-006,Closed Lost,136000000,136000000,2024-07-22
DEAL-0182,CUST-033,Prospecting,53000000,53000000,2024-05-26
DEAL-0183,CUST-084,Closed Lost,209000000,209000000,2024-07-07
DEAL-0184,CUST-057,Closed Lost,52000000,52000000,2024-09-11
DEAL-0185,CUST-067,Closed Won,191000000,191000000,2024-08-05
DEAL-0186,CUST-024,Closed Won,25000000,25000000,2024-06-16
DEAL-0187,CUST-078,Closed Lost,118000000,118000000,2024-06-28
DEAL-0188,CUST-046,Closed Lost,207000000,207000000,2024-01-30
DEAL-0189,CUST-047,Closed Won,41000000,41000000,2024-08-12
DEAL-0191,CUST-058,Closed Lost,200000000,200000000,2024-02-09
DEAL-0192,CUST-051,Closed Lost,68000000,68000000,2024-02-28
,CUST-067,Closed Lost,35000000,35000000,2024-05-14
DEAL-0194,CUST-028,Closed Won,130000000,130000000,2024-04-12
DEAL-0195,CUST-058,Closed Won,118000000,118000000,2024-02-14
DEAL-0196,CUST-041,Closed Lost,145000000,145000000,2024-10-04
DEAL-0197,CUST-021,Closed Won,135000000,135000000,2024-04-24
DEAL-0198,CUST-018,Unknown,11000000,11000000,2024-07-03
DEAL-0199,CUST-071,Closed Won,27000000,27000000,2024-02-03
DEAL-0200,CUST-093,Closed Lost,201000000,201000000,2024-07-28
